"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Self-Similarity Beats Motor Control in Augmented Reality Body Weight Perception","M. L. Fiedler; M. Botsch; C. Wienrich; M. E. Latoschik","Psychology of Intelligent Interactive Systems (PIIS) Group and the Human-Computer Interaction (HCI) Group, University of Würzburg, Germany; Computer Graphics Group, TU Dortmund University, Germany; PIIS Group, University of Würzburg, Germany; HCI Group, University of Würzburg, Germany",IEEE Transactions on Visualization and Computer Graphics,"25 Apr 2025","2025","31","5","2828","2838","This paper investigates if and how self-similarity and having motor control impact sense of embodiment, self-identification, and body weight perception in Augmented Reality (AR). We conducted a 2x2 mixed design experiment involving 60 participants who interacted with either synchronously moving virtual humans or independently moving ones, each with self-similar or generic appearances, across two consecutive AR sessions. Participants evaluated their sense of embodiment, self-identification, and body weight perception of the virtual human. Our results show that self-similarity significantly enhanced sense of embodiment, self-identification, and the accuracy of body weight estimates with the virtual human. However, the effects of having motor control over the virtual human movements were notably weaker in these measures than in similar VR studies. Further analysis indicated that not only the virtual human itself but also the participants' body weight, self-esteem, and body shape concerns predict body weight estimates across all conditions. Our work advances the understanding of virtual human body weight perception in AR systems, emphasizing the importance of factors such as coherence with the real-world environment.","1941-0506","","10.1109/TVCG.2025.3549851","German Federal Ministry of Labor and Social Affairs(grant numbers:DKI.00.00030.21); Bavarian State Ministry For Digital Affairs(grant numbers:A5-3822-2-16); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10930320","Virtual human;augmented reality;self-similarity;motor control;body weight perception;body image;sense of embodiment;self-identification;coherence","Motor drives;Estimation;Shape;Coherence;Augmented reality;Accuracy;Optical distortion;Visualization;Psychology;Ethics","Humans;Female;Male;Augmented Reality;Weight Perception;Young Adult;Adult;Self Concept;Virtual Reality;Body Image;User-Computer Interface;Computer Graphics;Body Weight","1","","66","CCBY","17 Mar 2025","May 2025","","IEEE","IEEE Journals"
"AR-Light: Enabling Fast and Lightweight Multi-User Augmented Reality via Semantic Segmentation and Collaborative View Synchronization","Y. Wen; A. B. Shah; R. Cao; C. Zhang; J. Chen; X. Wu; C. Xie; X. Fu","Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA; Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA; School of Computer Science and Engineering, Beihang University, Beijing, China; Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA; Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA; Department of Information Science Technology, University of Houston, Houston, TX, USA; School of Computer Science and Engineering, Beihang University, Beijing, China; Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA",IEEE Transactions on Computers,"9 May 2025","2025","74","6","2073","2086","Multi-user Augmented Reality (MuAR) allows multiple users to interact with shared virtual objects, facilitated by exchanging environment information. Current MuAR systems rely on 3D point clouds for real-world analysis, view synchronization, object rendering, and movement tracking. However, the complexity of 3D point clouds leads to significant processing delays, with approximately 80% of overhead in commercial frameworks. This hampers usability and degrades user experience. Our analysis reveals that maintaining the facing side of the real-world scene in a stable environment provides sufficient information for virtual object placement and rendering. To address this, we introduce a lightweight quadtree structure, representing 2D scenes through semantic segmentation and geometry, as an alternative to 3D point clouds. Additionally, we propose a novel correction method to handle potential shifts in virtual object placement during view synchronization among users. Combining all designs, we implement a fast and lightweight MuAR framework named AR-Light and test our framework on commercial AR devices. The evaluation results on real-world applications demonstrate that AR-Light can achieve high performance in various real-world scenes while maintaining a comparable virtual object placement accuracy.","1557-9956","","10.1109/TC.2025.3549629","NSF(grant numbers:CCF-2130688,CNS-2107057); Natural Science Foundation of China(grant numbers:92373205); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10918684","Augmented reality (AR), collaborative computing;multi-task learning network;multi-user mobile system","Point cloud compression;Three-dimensional displays;Synchronization;Rendering (computer graphics);Location awareness;Accuracy;Feature extraction;Hands;Data structures;Data mining","","3","","45","IEEE","10 Mar 2025","June 2025","","IEEE","IEEE Journals"
"Saliency-Aware Foveated Path Tracing for Virtual Reality Rendering","Y. Gao; W. Li; S. Liang; A. Hao; X. Tan","State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; Capital Normal University, Beijing, China",IEEE Transactions on Visualization and Computer Graphics,"25 Apr 2025","2025","31","5","2725","2735","Foveated rendering reduces computational load by distributing resources based on the human visual system. This enables the implementation of ray tracing in virtual reality applications, where a high frame rate is essential to achieve visual immersion. However, traditional foveation methods based solely on eccentricity cannot adequately account for the complex behavior of visual attention. This is one of the main reasons that leads to lower perceived quality compared to non-foveated techniques. In this study, we introduce a novel rendering pipeline that incorporates ocular attention through the use of visual saliency. Based on foveation saliency, our approach facilitates the real-time production of high-quality images utilizing path tracing by distributing samples according to saliency metrics derived from geometric and historical data. To further augment image quality, an adaptive filtering process, aligned with the saliency metrics, is employed to reduce visible artifacts in non-foveal regions. Our experiments prove that this novel approach can demonstrate superior performance compared to previous methods, both in terms of quantitative metrics and perceived visual quality.","1941-0506","","10.1109/TVCG.2025.3549148","National Key R&D Program of China(grant numbers:2023YFC3604500); Beijing Science and Technology Plan Project(grant numbers:Z221100007722004); National Natural Science Foundation of China(grant numbers:62272324,L2324214); Guangxi Science and Technology Major Program(grant numbers:GuiKeAA24206017); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10917013","Foveated rendering;visual saliency;ray tracing","Rendering (computer graphics);Visualization;Pipelines;Ray tracing;Filtering algorithms;Real-time systems;Measurement;Information filters;Hardware;Hands","","6","","44","IEEE","7 Mar 2025","May 2025","","IEEE","IEEE Journals"
"A Survey and Framework for Education in the Metaverse","J. Safari Bazargani; A. Sadeghi-Niaraki; S. -M. Choi","Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, South Korea; Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, South Korea; Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, South Korea",IEEE Access,"25 Feb 2025","2025","13","","33231","33245","The rapid advancement of technology is reshaping education, and the metaverse stands at the forefront of this transformation. Beyond its roots in gaming and entertainment, the metaverse is poised to revolutionize how we learn by creating immersive, interactive, and personalized educational environments. However, despite its potential, a comprehensive framework for integrating the metaverse into education remains absent. This study conducts a systematic literature review to analyze and categorize existing research on education in the metaverse. The review follows a PRISMA-based methodology, utilizing Scopus, Web of Science, and PubMed databases for data collection. Studies were analyzed to identify trends, goals, and types of metaverse technologies explored. Building on this review, this paper proposes a Meta-education framework that addresses the interconnected roles of learners, instructors, and institutions in metaverse-driven education systems. The framework highlights how the metaverse enhances learner engagement, supports innovative teaching strategies, and enables institutional scalability. This study concludes that while the metaverse holds great potential to revolutionize education, significant challenges remain, including content development, instructor readiness, and integration of AI technologies. The proposed framework provides practical guidelines for future research and offers implications for educators, policymakers, and researchers aiming to create inclusive, sustainable, and transformative learning environments.","2169-3536","","10.1109/ACCESS.2025.3543496","ITRC Support Program(grant numbers:IITP-2025-RS-2022 00156354); Metaverse Support Program to Nurture the Best Talents funded by the Ministry of Science and ICT of Korea and the Institute of Information and Communications Technology Planning and Evaluation (IITP)(grant numbers:IITP-2025-RS-2023-00254529); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10892097","Metaverse;education;survey;metaverse education","Metaverse;Education;Surveys;Market research;Reviews;Hardware;Databases;Systematics;Roads;Object recognition","","14","","58","CCBYNCND","19 Feb 2025","2025","","IEEE","IEEE Journals"
"Saliency-Free and Aesthetic-Aware Panoramic Video Navigation","C. Chen; G. Ma; W. Song; S. Li; A. Hao; H. Qin","State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; Computer Science Department, Stony Brook University, Stony Brook, NY, USA",IEEE Transactions on Pattern Analysis and Machine Intelligence,"5 Feb 2025","2025","47","3","2037","2054","Most of the existing panoramic video navigation approaches are saliency-driven, whereby off-the-shelf saliency detection tools are directly employed to aid the navigation approaches in localizing video content that should be incorporated into the navigation path. In view of the dilemma faced by our research community, we rethink if the “saliency clues” are really appropriate to serve the panoramic video navigation task. According to our in-depth investigation, we argue that using “saliency clues” cannot generate a satisfying navigation path, failing to well represent the given panoramic video, and the views in the navigation path are also low aesthetics. In this paper, we present a brand-new navigation paradigm. Although our model is still trained on eye-fixations, our methodology can additionally enable the trained model to perceive the “meaningful” degree of the given panoramic video content. Outwardly, the proposed new approach is saliency-free, but inwardly, it is developed from saliency but biasing more to be “meaningful-driven”; thus, it can generate a navigation path with more appropriate content coverage. Besides, this paper is the first attempt to devise an unsupervised learning scheme to ensure all localized meaningful views in the navigation path have high aesthetics. Thus, the navigation path generated by our approach can also bring users an enjoyable watching experience. As a new topic in its infancy, we have devised a series of quantitative evaluation schemes, including objective verifications and subjective user studies. All these innovative attempts would have great potential to inspire and promote this research field in the near future.","1939-3539","","10.1109/TPAMI.2024.3516874","National Key R&D Program of China(grant numbers:2023YFC3604500); National Natural Science Foundation of China(grant numbers:62172246); Shandong Natural Science Foundation of Outstanding Young Scientist Fund(grant numbers:ZR2024YQ071); Natural Science Foundation of Shandong Province(grant numbers:ZR2024QF267); Youth Innovation and Technology Support Plan of Colleges and Universities in Shandong Province(grant numbers:2021KJ062); Science and Technology Major Program(grant numbers:GuiKeAA24206017); Natural Science Foundation of Qingdao Municipality(grant numbers:24-4-4-zrjj-90-jch); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10798616","Navigation and roaming;panoramic video navigation;panoramic video saliency detection","Navigation;Streaming media;Trajectory;Saliency detection;Solid modeling;Prediction algorithms;Resists;Unsupervised learning;Sensors;Virtual reality","","4","","99","IEEE","13 Dec 2024","March 2025","","IEEE","IEEE Journals"
"Impact of Different UI on Foreign Language Learning Using iVR","B. Peixoto; G. Gonçalves; M. Bessa; L. C. Pereira Bessa; M. Melo","Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; CITCEM - Transdisciplinary Research Center for Culture, Space and Memory (FLUP), Porto, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal",2024 International Conference on Graphics and Interaction (ICGI),"20 Mar 2025","2024","","","1","8","This paper presents a study comparing different user interface modes (Controller-Based Selection, Object Interaction, and Voice Recognition) within immersive Virtual Reality (iVR) environments for foreign language learning. Given the rapid advancements and potential of iVR in education, there is a need for focused research on optimising user interfaces for effective learning experiences. This study aimed to identify optimal interfaces for integrating iVR applications as complementary educational tools while gauging student preferences. Participants engaged in interactive learning tasks across the three conditions, with assessments focused on System Usability, Presence, User Satisfaction, Cybersickness, Learning Outcomes, and Task Duration. Findings indicate high usability across all conditions, with a preference observed for Controller-Based Selection and Object Interaction. Object Interaction showed strong motivational appeal but required more time to complete tasks than Controller-Based. Therefore, for time-constrained educational settings, the Controller-Based Selection interface is practical due to its lower physical effort requirement. Despite recent advances, our study found Voice Recognition interaction to be the least preferred interaction method, indicating a need for further technological improvements to boost its acceptance and effectiveness in educational contexts.","","979-8-3315-3599-5","10.1109/ICGI64003.2024.10923812","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10923812","Immersive Virtual Reality;Education;Foreign Language Learners;User Interface;Virtual Environments","Cybersickness;Education;Virtual environments;Speech recognition;User interfaces;Usability","","","","33","IEEE","20 Mar 2025","7-8 Nov. 2024","7-8 Nov. 2024","IEEE","IEEE Conferences"
"Learning a Foreign Language: Traditional Listening vs Interactive Immersive Virtual Reality","B. Peixoto; G. Gonçalves; M. Bessa; L. C. Pereira Bessa; M. Melo","University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal",2024 International Conference on Graphics and Interaction (ICGI),"20 Mar 2025","2024","","","1","8","Immersive Virtual Reality (iVR) is a promising educational tool for learning a second/foreign language. However, interactive iVR studies remain in their infancy, with more research required to validate what and how it can be implemented. This study focuses on the English listening dimension and evaluates the impact of a realistic interactive iVR compared to traditional listening exercises. The results were favourable and indicated that interactive iVR positively impacts the users' knowledge retention compared to a traditional listening approach. Likewise, the users revealed a preference for using iVR for learning when compared to traditional listening exercises, as well as higher user satisfaction with the iVR experiment.","","979-8-3315-3599-5","10.1109/ICGI64003.2024.10923758","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10923758","Immersive Virtual Reality;Education;Foreign Language Education;EFL;ESL;Virtual Environments","Education;Virtual environments","","","","64","IEEE","20 Mar 2025","7-8 Nov. 2024","7-8 Nov. 2024","IEEE","IEEE Conferences"
"Overview of NR Enhancements for Extended Reality (XR) in 3GPP 5G-Advanced","M. Gapeyenko; S. Paris; M. Isomaki; B. Yanakiev; A. Amiri; B. Sébire; J. Kaikkonen; C. Wu; K. I. Pedersen","Nokia Standards, Oulu, Finland; Nokia Standards, Oulu, Finland; Nokia Standards, Oulu, Finland; Nokia Standards, Oulu, Finland; Nokia Standards, Oulu, Finland; Nokia Standards, Oulu, Finland; Nokia Standards, Oulu, Finland; Nokia Standards, Oulu, Finland; Nokia Standards, Oulu, Finland",IEEE Access,"17 Dec 2024","2024","12","","186941","186956","Extended reality (XR) is unlocking numerous possibilities and continues attracting individuals and larger groups across different business sectors. With Virtual reality (VR), Augmented reality (AR), or Mixed reality (MR) it is possible to improve the way we access, deliver and exchange information in education, health care, entertainment, and many other aspects of our daily lives. However, to fully exploit the potential of XR, it is important to provide reliable, fast and secure wireless connectivity to the users of XR and that requires refining existing solutions and tailoring those to support XR services. This article presents an overview of 3GPP 5G-Advanced Release 18 XR activities, summarizing physical as well as higher layer enhancements introduced for NR considering the specifics of XR. In addition, we also describe enhancements across 5G system architecture that impacted radio access network. Furthermore, the paper provides system-level simulation results for several Release 18 enhancements to show their benefits in terms of XR capacity and power saving gains. Finally, it concludes with an overview of future work in Release 19 that continues developing features to support XR services.","2169-3536","","10.1109/ACCESS.2024.3513444","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10786224","3GPP;5G;5G-advanced;AR;NR;VR;XR","3GPP;Quality of service;5G mobile communication;Low latency communication;Extended reality;Bit rate;Solid modeling;Jitter;IP networks;Delays","","8","","38","CCBY","9 Dec 2024","2024","","IEEE","IEEE Journals"
"Does Robot Anthropomorphism Improve Performance and User Experience in Teleoperation?","A. Villani; T. L. Baldi; N. D’Aurizio; G. Campagna; D. Prattichizzo","Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Technical Faculty of IT and Design, Aalborg University, Denmark; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy",2024 IEEE-RAS 23rd International Conference on Humanoid Robots (Humanoids),"3 Dec 2024","2024","","","76","83","Recent research showed that enhancing robots with human-like appearance and movements can significantly improve human-robot collaboration. These improvements are mainly seen in increased trust and a better understanding of the mechanical system. In this work, we investigated the role of robot anthropomorphism in teleoperation contexts, demonstrating that it positively impacts both the users’ experience and their performance. More specifically, we focused on analyzing the contributions of anthropomorphism in reaching and grasping tasks within a virtual environment. For each task, subjects were asked to control avatars with different anthropomorphism scores. Performance and users’ feelings were collected and compared by means of a statistical analysis. All participants followed shorter trajectories in less time when controlling a human-like avatar, with mean reductions of 11.56 s and 0.44 m compared to controlling a robot-like avatar in the best-case scenario. Similarly, grasping abilities were superior when using a more anthropomorphic end-effector with respect to controlling grippers with two or three fingers.","2164-0580","979-8-3503-7357-8","10.1109/Humanoids58906.2024.10769837","Horizon Europe; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10769837","","Visualization;Statistical analysis;Service robots;Avatars;Humanoid robots;Grasping;End effectors;Trajectory;Anthropomorphism;Robots","","2","","37","IEEE","3 Dec 2024","22-24 Nov. 2024","22-24 Nov. 2024","IEEE","IEEE Conferences"
"Dynamic Inter-Cell Interference Coordination to Optimize XR and eMBB Coexistence","P. Paymard; A. Amiri; T. E. Kolding; K. I. Pedersen","Department of Electronic Systems, Aalborg University, Aalborg, Denmark; Nokia, Aalborg, Denmark; Nokia, Aalborg, Denmark; Department of Electronic Systems, Aalborg University, Aalborg, Denmark",2024 IEEE 100th Vehicular Technology Conference (VTC2024-Fall),"28 Nov 2024","2024","","","1","6","This paper presents a dynamic inter-cell interference coordination (ICIC) technique that enhances extended reality (XR) capacity, while minimizing the impact on enhanced mobile broadband (eMBB) traffic in a multi-cell multi-user network. The network identifies victim XR users based on their experienced performance and dynamically coordinates with aggressor cells for muting in specific transmission time intervals to alleviate interference for the victim users. Extensive dynamic system-level simulations demonstrate the effectiveness of the proposed ICIC scheme, achieving a 22-32% gain in XR capacity while incurring a degradation of 12-22% in average eMBB cell throughput.","2577-2465","979-8-3315-1778-6","10.1109/VTC2024-Fall63153.2024.10757991","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10757991","","Degradation;Measurement;Vehicular and wireless technologies;Extended reality;Interference;Quality of service;Throughput;Intercell interference;Vehicle dynamics;Signal to noise ratio","","1","","22","IEEE","28 Nov 2024","7-10 Oct. 2024","7-10 Oct. 2024","IEEE","IEEE Conferences"
"Affective Landscapes: Navigating the Emotional Impact of Multisensory Stimuli in Virtual Reality","M. Magalhães; M. Melo; A. Fernando Coelho; M. Bessa","Faculty of Engineering, University of Porto, Porto, Portugal; Department of Engineering, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; Faculty of Engineering, University of Porto, Porto, Portugal; Department of Engineering, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal",IEEE Access,"21 Nov 2024","2024","12","","169955","169976","In this study we explore the impact of multisensory stimuli in virtual reality on users’ emotional responses, addressing a knowledge gap in this rapidly evolving field. Utilizing a range of sensory inputs, including taste, haptics, and smell, in addition to audiovisual cues, this study aims to understand how different combinations of these stimuli affect the users’ emotional experience. Two immersive virtual experiences have been developed for this purpose. One included a scenario to evoke positive emotions through selectively chosen pleasant multisensory stimuli, validated in a focus group. The other sought the contrary: to trigger negative emotions by integrating selected combinations of unpleasant multisensory stimuli, also validated in the same focus group. Through a comparative analysis, our findings revealed significant differences in emotional responses between the groups exposed to positive and negative stimuli combinations. Results indicated that combinations involving haptics and taste were particularly effective in eliciting intense emotions using positive stimuli, but their impact was less significant with negative stimuli. This investigation suggests that a fully multisensory virtual environment integrating positive stimuli might lead to cognitive overload, reducing overall emotional responses. In contrast, environments with negative stimuli could enhance emotional engagement and be more likely to avoid cognitive overload. These findings have important implications for designing emotionally resonant and compelling virtual reality experiences. This research enhances the understanding of sensory integration in virtual reality and its effects on emotional engagement, offering valuable insights for developing more impactful virtual experiences.","2169-3536","","10.1109/ACCESS.2024.3499858","National Funds through Portuguese funding agency, FCT — Fundação para a Ciência e a Tecnologia(grant numbers:UIDB/50014/2020); Portuguese Foundation for Science and Technology (FCT)(grant numbers:PD/BD/150491/2019); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753601","Emotional responses;multisensory virtual reality;virtual reality;virtual tourism","Navigation;Virtual environments;User experience;Emotional responses;Haptic interfaces;Complexity theory","","11","","136","CCBYNCND","15 Nov 2024","2024","","IEEE","IEEE Journals"
"Can Stochastic Resonance Improve Sensorimotor Performance in Hand Motor Control?","M. Pompilio; N. D’Aurizio; T. Lisini Baldi; G. Salvietti; S. Rossi; D. Prattichizzo","Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Department of Medicine, Surgery and Neuroscience, University of Siena, Siena, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy",IEEE Access,"18 Oct 2024","2024","12","","148525","148537","Recent researches have demonstrated that noise, whether mechanical or electrical, can enhance somatosensation and optimize balance control in humans. However, the influence of stochastic resonance (SR) on the human motor system, particularly regarding hand motor control, remains largely unexplored. This study examines the impact of stochastic resonance on enhancing sensorimotor performance in the human motor system, specifically in the context of hand motor control when tools are held. While many of the previous studies have focused on SR in free-hand motions, few studies have examined the effects when tools are adopted. Our experimental campaign involved forty participants who were asked to track a given trajectory displayed in mixed reality while holding various tools. The experiment considered four subthreshold levels of vibratory mechanical noise, three hand stimulation sites with three different haptic interfaces, and three distinct 3D trajectories. Results indicate that wearing a device typically degrades performance in trajectory tracking. However, when SR is applied, the precision of hand motor control is restored to levels comparable to those observed without any devices. These findings suggest that SR can mitigate the negative impact of holding tools on sensorimotor precision.","2169-3536","","10.1109/ACCESS.2024.3477974","European Union’s Horizon Europe Programme of the project ‘‘HARIA—Human-Robot Sensorimotor Augmentation—Wearable Sensorimotor Interfaces and Supernumerary Robotic Limbs for Humans with Upper-Limb Disabilities’’ from the Next Generation EU Project ‘‘Ecosistema dell’Innovazione’’ Tuscany Health Ecosystem (THE) (PNRR, Spoke 9: Robotics and Automation for Health)(grant numbers:101070292,ECS00000017); University of Siena Curiosity Driven (F-CUR) Project ‘‘BRIOCHE: wearaBle sensoRImOtor interfaCes for Human augmentation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10713376","Haptics;wearable haptics;mixed reality;human performance augmentation","Three-dimensional displays;Resists;Noise measurement;Trajectory;Stochastic resonance;Motor drives;Robot sensing systems;Performance evaluation;Haptic interfaces;Motors;Mixed reality;Human activity recognition","","1","","39","CCBYNCND","10 Oct 2024","2024","","IEEE","IEEE Journals"
"Improving Higher Education With the Use of Mobile Augmented Reality (MAR): A Case Study","S. Criollo-C; A. Guerrero-Arias; J. Enrique Cerezo Uzcátegui; Y. Miftachul Arif; A. Fortuna; F. Prasetya; S. Luján-Mora","Carrera de Ingeniería en Ciberseguridad, Facultad de Ingeniería y Ciencias Aplicadas, Universidad de Las Américas, Quito, Ecuador; Jezreel International Christian Academy, Quito, Ecuador; Carrera de Ingeniería en Ciberseguridad, Facultad de Ingeniería y Ciencias Aplicadas, Universidad de Las Américas, Quito, Ecuador; Department of Informatics Engineering, Universitas Islam Negeri Maulana Malik Ibrahim Malang, Malang, Indonesia; Department of Mechanical Engineering, Universitas Negeri Padang, Padang, Indonesia; Faculty of Engineering, Universitas Negeri Padang, Air Tawar, Padang, Padang, West Sumatra, Indonesia; Departmyent of Software and Computing Systems, University of Alicante, Alicante, Spain",IEEE Access,"1 Oct 2024","2024","12","","139003","139017","Currently, students face difficulties in understanding and assembling desktop computer hardware. Traditional teaching, which relies on theoretical classes and manuals, does not provide sufficient interactive or practical experience, hindering the comprehension and retention of knowledge. Understanding hardware is fundamental for computer science and related fields students, as it is the basis for building and maintaining computer systems. The lack of practical knowledge in this area can result in inadequate training, limiting students’ abilities to apply theoretical concepts in real-world situations, which can affect their academic performance and job market readiness. There have been initiatives that included the use of printed manuals, video tutorials, and software simulations to teach hardware. However, these methods failed to engage students sufficiently or provide a practical and realistic learning experience. These methods can become boring and disconnected from the practical experience necessary for properly assembling computer hardware. The proposed solution is the use of an augmented reality (AR) mobile application to create an interactive and practical learning experience. The application called Build_PC was designed, and it allows students to visualize and manipulate hardware components in a virtual environment superimposed on the real world, allowing practical learning of computer assembly and operation. The main results of the research, which used volunteer students associated with control and experimental groups, show that the use of Build_PC significantly improved the understanding and retention of knowledge about computer hardware. Students who used the application demonstrated a greater ability to understand the operation of hardware components compared to those who used traditional methods. In addition, students reported greater motivation and satisfaction with the learning process. Implementing a AR-powered application in hardware education has several important implications. Firstly, it provides an effective tool to enhance understanding and knowledge retention, which can lead to better academic and professional preparation for students. Furthermore, it can serve as a model for integrating emerging technologies in other educational areas, enhancing practical teaching and interactive learning. It also highlights the need to invest in innovative educational technologies to keep up with job market demands and student expectations.","2169-3536","","10.1109/ACCESS.2024.3465833","Universidad de Las Américas; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10685406","Augmented reality;mobile augmented reality;active learning;MAR application;mobile learning;authentic learning","Education;Hardware;Augmented reality;Visualization;Three-dimensional displays;Solid modeling;Electronic learning;Mobile applications","","12","","63","CCBYNCND","23 Sep 2024","2024","","IEEE","IEEE Journals"
"Remote Extended Reality With Markerless Motion Tracking for Sitting Posture Training","X. Ai; S. K. Agrawal","Department of Mechanical Engineering, Columbia University, New York, NY, USA; Department of Mechanical Engineering, Columbia University, New York, NY, USA",IEEE Robotics and Automation Letters,"2 Oct 2024","2024","9","11","9860","9867","Dynamic postural control during sitting is essential for functional mobility and daily activities. Extended reality (XR) presents a promising solution for posture training in addressing conventional training limitations related to patient accessibility and ecological validity. We developed a remote XR rehabilitation system with markerless motion tracking for sitting posture training. Forty-two healthy subjects participated in this proof-of-concept pilot study. Each subject completed 24 rounds of multi-directional reach tasks using the system and 24 rounds without it. Motion data were collected via online meetings using built-in camera in the user's laptop. Functional reach test scores were analyzed to assess the impact of the system on motor performance. Four standard questionnaires were used to assess the effects of this system on presence, simulator sickness, engagement, and enjoyment. Our results indicate that the remote XR training system significantly improved functional reach performance and proved highly effective for telerehabilitation. XR interaction also enhanced training engagement and enjoyment. By bridging the spatial gap between patients and therapists, this system enables personalized and engaging home-based intervention. Additionally, it facilitates more natural movements by eliminating body marker constraints and laboratory limitations. This study should serve as a stepping stone to advancing novel remote XR rehabilitation systems.","2377-3766","","10.1109/LRA.2024.3460412","NIH(grant numbers:R01HD101903); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10679923","Remote rehabilitation system;virtual reality and interfaces;markerless motion tracking;postural control","Training;Extended reality;Tracking;Protocols;Portable computers;Wrist;Webcams","","4","","46","IEEE","13 Sep 2024","Nov. 2024","","IEEE","IEEE Journals"
